Date,FundName,Class,NAV,AdjustedNAV,Dividend,DivYield,SharesOustanding,AUM
2020-10-15,Black Diamond Global Equity Fund,A,20.0,19.91597502274137,0.0,0.0,10000.0,200000.0
2020-10-16,Black Diamond Global Equity Fund,A,20.0,19.91597502274137,0.0,0.0,10000.0,200000.0
2020-10-19,Black Diamond Global Equity Fund,A,19.998915,19.914894581096387,0.0,0.0,10000.0,199989.15
2020-10-20,Black Diamond Global Equity Fund,A,19.92461612,19.8409078491815,0.0,0.0,15750.316,313819.00006869395
2020-10-21,Black Diamond Global Equity Fund,A,19.87033847,19.786858233096847,0.0,0.0,15750.316,312964.10992945655
2020-10-22,Black Diamond Global Equity Fund,A,19.85220868,19.76880461085647,0.0,0.0,15750.316,312678.5600079429
2020-10-23,Black Diamond Global Equity Fund,A,19.89237989,19.808807051606134,0.0,0.0,17324.364,344622.83004064
2020-10-26,Black Diamond Global Equity Fund,A,19.87002919,19.786550252459094,0.0,0.0,17575.716,349229.98995515006
2020-10-27,Black Diamond Global Equity Fund,A,19.83589175,19.752556232340076,0.0,0.0,17575.716,348630.000004743
2020-10-28,Black Diamond Global Equity Fund,A,19.78920404,19.706064669028628,0.0,0.0,17575.716,347809.4300730927
2020-10-29,Black Diamond Global Equity Fund,A,19.77612861,19.693044172164047,0.0,0.0,17575.716,347579.6200288348
2020-10-30,Black Diamond Global Equity Fund,A,19.74028189,19.657348053155683,0.0,0.0,18134.084,357971.9299769387
2020-11-02,Black Diamond Global Equity Fund,A,19.71770464,19.634865655801576,0.0,0.0,23878.678,470832.71999766596
2020-11-03,Black Diamond Global Equity Fund,A,19.82481651,19.74152752217953,0.0,0.0,24851.029,492667.0900096888
2020-11-04,Black Diamond Global Equity Fund,A,20.23361487,20.148608418534412,0.0,0.0,24851.029,502826.1499092012
2020-11-05,Black Diamond Global Equity Fund,A,20.4527677,20.366840532956562,0.0,0.0,25100.399,513372.6299243123
2020-11-06,Black Diamond Global Equity Fund,A,20.52193871,20.435720938329453,0.0,0.0,25100.399,515108.84987454535
2020-11-09,Black Diamond Global Equity Fund,A,20.8447178,20.757143953044615,0.0,0.0,25831.325,538446.6800250851
2020-11-10,Black Diamond Global Equity Fund,A,20.82006171,20.73259144941469,0.0,0.0,26790.801,557786.1300803297
2020-11-11,Black Diamond Global Equity Fund,A,21.0032354,20.91499558115786,0.0,0.0,26790.801,562693.4999575554
2020-11-12,Black Diamond Global Equity Fund,A,20.88932989,20.801568616552228,0.0,0.0,26790.801,559641.8801063419
2020-11-13,Black Diamond Global Equity Fund,A,21.09382694,21.00520652355344,0.0,0.0,26790.801,565120.519877979
2020-11-16,Black Diamond Global Equity Fund,A,21.22373982,21.134573607214058,0.0,0.0,26790.801,568600.9899933957
2020-11-17,Black Diamond Global Equity Fund,A,21.20985856,21.12075066584185,0.0,0.0,26790.801,568229.0999191066
2020-11-18,Black Diamond Global Equity Fund,A,21.14641141,21.057570073108643,0.0,0.0,26790.801,566529.2999494394
2020-11-19,Black Diamond Global Equity Fund,A,21.24406163,21.154810040232906,0.0,0.0,32181.79,683671.9301237178
2020-11-20,Black Diamond Global Equity Fund,A,21.11567629,21.026964078996595,0.0,0.0,32181.79,679540.2600727591
2020-11-23,Black Diamond Global Equity Fund,A,21.13748179,21.048677968664514,0.0,0.0,32181.79,680242.0000946041
2020-11-24,Black Diamond Global Equity Fund,A,21.29837309,21.208893324273333,0.0,0.0,32181.79,685419.7701240311
2020-11-25,Black Diamond Global Equity Fund,A,21.30762055,21.218101933392525,0.0,0.0,32181.79,685717.3699397845
2020-11-26,Black Diamond Global Equity Fund,A,21.34909587,21.259403005251535,0.0,0.0,32181.79,687052.1199782073
2020-11-27,Black Diamond Global Equity Fund,A,21.39776362,21.307866289922185,0.0,0.0,32721.391,700164.5899355954
2020-11-30,Black Diamond Global Equity Fund,A,21.22960446,21.14041360840193,0.0,0.0,35592.714,755619.2398779044
2020-12-01,Black Diamond Global Equity Fund,A,21.41478478,21.324815939793094,0.0,0.0,35592.714,762210.310046093
2020-12-02,Black Diamond Global Equity Fund,A,21.36073383,21.27099207128532,0.0,0.0,35592.714,760286.4900413146
2020-12-03,Black Diamond Global Equity Fund,A,21.34345276,21.25378360336101,0.0,0.0,35592.714,759671.4098591907
2020-12-04,Black Diamond Global Equity Fund,A,21.36416459,21.274408417808772,0.0,0.0,35592.714,760408.6001007974
2020-12-07,Black Diamond Global Equity Fund,A,21.35538502,21.26566573296725,0.0,0.0,35764.524,763765.1800770304
