Ticker,Name,RISK_UNITS,CurrentWeight,WEIGHT_USD,VolatilityHist,ImpliedVol,DeltaOption
CRM US Equity,salesforce.com Inc,3433.0,3.8,0.010906822730207813,0.20490945675973338,0.24589134811168004,0.9999999988846968
WDAY US Equity,Workday Inc,3172.0,3.3,0.009441509282473429,0.2562113630671117,0.307453635680534,0.9999996726109613
FB US Equity,Facebook Inc,1959.0,3.1,0.009036343445960666,0.2605312127588047,0.31263745531056564,0.9999999097733143
RH US Equity,RH,981.0,3.0,0.008673015731412614,0.2613550657210597,0.31362607886527166,0.9999999927820018
AMZN US Equity,Amazon.com Inc,207.0,3.0,0.008636441369206294,0.3320768797697635,0.3984922557237162,0.999999992479208
RBLX US Equity,ROBLOX Corp,7590.0,2.7,0.007675825130221974,0.5032973406139515,0.6039568087367417,0.9992349263560437
COIN US Equity,Coinbase Global Inc,2205.0,2.5,0.007109561713571324,0.5933746412658223,0.7120495695189867,0.999742763117946
FLT US Equity,FleetCor Technologies Inc,1956.0,2.3,0.006578620681517571,0.29173139489449185,0.3500776738733902,0.9999980714628163
ME US Equity,23andMe Holding Co,61633.0,2.3,0.006520961401461369,0.6967824568310882,0.8361389481973058,0.9949411650869336
MSFT US Equity,Microsoft Corp,1709.0,2.2,0.00644959524325581,0.1077672862096718,0.12932074345160616,1.0
BABA US Equity,Alibaba Group Holding Ltd,2858.0,2.2,0.0063898187561289435,0.37653401154888944,0.4518408138586673,0.9999241021277822
CBOE US Equity,Cboe Global Markets Inc,3949.0,2.2,0.0063150253510986225,0.24492303309921934,0.2939076397190632,0.9999984354670091
MELI US Equity,MercadoLibre Inc,269.0,2.1,0.006118498463917901,0.6382462834648822,0.7658955401578587,0.9999730653972998
GOOGL US Equity,Alphabet Inc,168.0,2.1,0.005907219426530531,0.18837465722338995,0.22604958866806793,1.0
MANU US Equity,Manchester United Plc,26361.0,2.0,0.005717266616292915,0.18132520272043745,0.21759024326452495,0.999950067436114
AAPL US Equity,Apple Inc,2916.0,2.0,0.005637841867009551,0.20905649281329877,0.2508677913759585,0.9999999679532763
PDD US Equity,Pinduoduo Inc,5253.0,1.9,0.005368518534850712,0.8258038527124958,0.9909646232549949,0.9995681040127619
JKHY US Equity,Jack Henry & Associates Inc,2318.0,1.8,0.005323330940311339,0.22585763446479448,0.27102916135775335,0.9999999134420435
UBER US Equity,Uber Technologies Inc,10085.0,1.8,0.005322139621231077,0.3268134068276544,0.3921760881931853,0.9994473113967706
ROP US Equity,Roper Technologies Inc,844.0,1.8,0.005277587639470966,0.13461599515490996,0.16153919418589194,1.0
ETSY US Equity,Etsy Inc,2072.0,1.8,0.005180033360375864,0.6539969947881008,0.784796393745721,0.9996565532132032
TCEHY US Equity,Tencent Holdings Ltd,7291.0,1.8,0.005175581958334661,0.4465223085112922,0.5358267702135506,0.998993800316408
CTVA US Equity,Corteva Inc,8648.0,1.7,0.005015720799432201,0.3887070432294905,0.4664484518753886,0.9989852041295442
WYNN US Equity,Wynn Resorts Ltd,4134.0,1.7,0.004893233860642787,0.4835387440884346,0.5802464929061215,0.9993760591744801
BIIB US Equity,Biogen Inc,1074.0,1.7,0.0048353263945110905,0.15943450035542114,0.19132140042650536,0.9999999999999958
LMT US Equity,Lockheed Martin Corp,1012.0,1.6,0.004710028487604393,0.17294252265372245,0.20753102718446695,0.9999999999998199
AON US Equity,Aon PLC,1273.0,1.6,0.004598050210270882,0.2062376569417588,0.24748518833011054,0.9999999992053289
ANGI US Equity,Angi Inc,35586.0,1.6,0.00458042397090896,0.4443159243835895,0.5331791092603074,0.9910206479514433
V US Equity,Visa Inc,1491.0,1.6,0.004499781575456125,0.1530777463117893,0.18369329557414715,0.9999999999999826
INTU US Equity,Intuit Inc,600.0,1.4,0.0041386779206744415,0.14433733901225282,0.17320480681470338,1.0
AMT US Equity,American Tower Corp,1103.0,1.4,0.004068344066131626,0.12555196018795098,0.15066235222554117,1.0
AVGO US Equity,Broadcom Inc,654.0,1.4,0.004030074176225264,0.18047155309778665,0.21656586371734396,0.9999999999998408
EDU US Equity,New Oriental Education & Technology Group Inc,157435.0,1.3,0.00374886258231073,0.8970946309733244,1.0765135571679894,0.9962266087055853
TAL US Equity,TAL Education Group,53916.0,1.3,0.0036086728540458126,1.3631990196241952,1.6358388235490342,0.9999666950297995
FTDR US Equity,Frontdoor Inc,5974.0,1.1,0.0032495345883328725,0.5512010837851892,0.6614413005422269,0.998227614014934
REAL US Equity,RealReal Inc/The,19383.0,1.1,0.0030811614656814064,0.5970012129082173,0.7164014554898607,0.9948001544467809
PEP US Equity,PepsiCo Inc,1138.0,0.8,0.0023122823687146406,0.11400493688823944,0.13680592426588734,1.0
MRNA US Equity,Moderna Inc,441.0,0.8,0.0022798840443264464,0.9490492264520035,1.138859071742404,0.9999368419690426
CME US Equity,CME Group Inc,798.0,0.7,0.0021096416379869742,0.2058226111468584,0.24698713337623007,0.9999999953549595
SPY US U1721C430000 Equity,SPDR S&P 500 ETF Trust,120000.0,2.1,0.006131943545467746,0.10177619290191031,0.12213143148229237,-0.21580417462246304
SPY US U0721C425000 Equity,SPDR S&P 500 ETF Trust,50000.0,0.4,0.0012163486658508913,0.10177619290191031,0.12213143148229237,-0.07655665073907159
COIN US L1721C300000 Equity,Coinbase Global Inc,5000.0,0.3,0.0009975351479386398,0.5933746412658223,0.7120495695189867,0.3398875744545633
RBLX US L1721C100000 Equity,ROBLOX Corp,15500.0,0.3,0.0007681020639127527,0.5032973406139515,0.6039568087367417,0.32290570184127854
TAL US K1921D325000 Equity,TAL Education Group,96000.0,0.0,6.178282206587705e-05,1.3631990196241952,1.6358388235490342,0.011070293545335718
BABA US I1721C230000 Equity,Alibaba Group Holding Ltd,7000.0,0.0,2.4326986188439092e-05,0.37653401154888944,0.4518408138586673,0.004578678313784804
UBER US H2021D650000 Equity,Uber Technologies Inc,-14000.0,-0.0,-3.603997953842828e-06,0.3268134068276544,0.3921760881931853,4.5153566290405474e-82
COIN US H2021C290000 Equity,Coinbase Global Inc,-2200.0,-0.0,-4.247569017029047e-06,0.5933746412658223,0.7120495695189867,5.4044652202851695e-05
RH US H2021C780000 Equity,RH,-800.0,-0.0,-6.178282206587705e-06,0.2613550657210597,0.31362607886527166,5.402806533457223e-12
TAL US H2021D600000 Equity,TAL Education Group,-10500.0,-0.0,-6.757496163455302e-06,1.3631990196241952,1.6358388235490342,9.63838854098606e-128
V US I1721C255000 Equity,Visa Inc,-1400.0,-0.0,-1.0631793963836342e-05,0.1530777463117893,0.18369329557414715,0.016319797918688372
AVGO US I1721C520000 Equity,Broadcom Inc,-600.0,-0.0,-2.1623987723056966e-05,0.18047155309778665,0.21656586371734396,0.025979789083434027
ROP US H2021C490000 Equity,Roper Technologies Inc,-800.0,-0.0,-1.3386278114273361e-05,0.13461599515490996,0.16153919418589194,0.007774346500770072
WDAY US I1721C280000 Equity,Workday Inc,-2500.0,-0.0,-1.769820423762103e-05,0.2562113630671117,0.307453635680534,0.005718225581565779
CRM US I1721C290000 Equity,salesforce.com Inc,-3400.0,-0.0,-3.238449589953055e-05,0.20490945675973338,0.24589134811168004,0.008413720511112974
WYNN US I1721C165000 Equity,Wynn Resorts Ltd,-5800.0,-0.0,-1.4930848665920287e-06,0.4835387440884346,0.5802464929061215,2.003161643046718e-05
