ID,Security Description,Symbol,Country,Sector,Asset Class,Asset Group,Shares/Par,Market Value,% of Portfolio,Book Cost,Price Cost,Price Close,Price Change %,Attribution to Book P&L %,Coupon Rate,CUSIP,ISIN,ESG,environment,Social,Governance,Symbol Unq.
6085,Salesforce Inc,CRM US Equity,United States,Information Technology,Equity,Foreign Stock,"3,433","1,162,850",4%,"987,376",287.61,338.73,18%,0%,0,79466L302,US79466L3024,-,-,-,-,EQ0108460500001000 Equity
32327,Workday Inc.,WDAY US Equity,United States,Information Technology,Equity,Domestic Stock,"3,172","1,094,664",4%,"895,227",282.23,345.10,22%,0%,0,98138H101,US98138H1014,-,-,-,-,WDAY US Equity
1255,Facebook Inc,FB US Equity,United States,Communication Services,Equity,Foreign Stock,"1,959","944,826",3%,"671,103",342.57,482.30,41%,0%,0,30303M102,US30303M1027,-,-,-,-,EQ0000000002815382 Equity
1250,Amazon,AMZN US Equity,United States,Consumer Discretionary,Equity,Foreign Stock,207,"909,121",3%,"836,807",4042.54,4391.89,9%,0%,0,023135106,US0231351067,-,-,-,-,EQ0021695200001000 Equity
38693,Restoration Hardware Holdings Inc.,RH US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,981,"872,698",3%,"553,728",564.45,889.60,58%,0%,0,74967X103,US74967X1037,-,-,-,-,RH US Equity
38605,Mtu Aero Engines Ag,MTX GR Equity,Europe,Industrials,Equity,Foreign Stock,"2,778","817,679",3%,"780,698",281.03,294.34,5%,0%,0,,DE000A0D9PT0,-,-,-,-,MTX GR Equity
45278,Roblox Corp,RBLX US Equity,United States,Communication Services,Equity,Domestic Stock,"7,590","809,167",3%,"696,971",91.83,106.61,16%,0%,0,771049103,US7710491033,-,-,-,-,RBLX US Equity
38885,Deutsche Boerse Ag,DB1 GR Equity,Europe,Financials,Equity,Foreign Stock,"3,630","796,664",3%,"733,640",202.10,219.47,9%,0%,0,,DE0005810055,-,-,-,-,DB1 GR Equity
45536,Coinbase Global Inc,COIN US Equity,United States,Information Technology,Equity,Domestic Stock,"2,205","740,157",2%,"818,142",371.04,335.67,-10%,0%,0,19260Q107,US19260Q1076,-,-,-,-,COIN US Equity
44734,Pinduoduo Inc.,PDD US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,"5,253","708,431",2%,"525,245",99.99,134.86,35%,0%,0,722304102,US7223041028,-,-,-,-,PDD US Equity
