ID,Security Description,SymbolBLK,Symbol,Country,Sector,Asset Class,Asset Group,Shares/Par,Market Value,Weights,Book Cost,Price Cost,Price Close,PxChange,BookPL,Coupon Rate,CUSIP,ISIN,ESG,environment,Social,Governance,Symbol Unq.
38881,Angi Homeservices Inc.,ANGI,ANGI US Equity,United States,Communication Services,Equity,Domestic Stock,240423.00,3221288.00,0.05,3730551.00,15.52,13.40,-0.14,0.00,0.00,00183L102,US00183L1026,-,-,-,-,ANGI US Equity
38598,Dave & Buster'S Entertainment Inc.,PLAY,PLAY US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,57386.00,2684582.00,0.04,2568063.00,44.75,46.78,0.05,0.00,0.00,238337109.00,US2383371091,-,-,-,-,PLAY US Equity
38884,Accor Sa,AC.PA,AC FP Equity,Europe,Consumer Discretionary,Equity,Foreign Stock,60418.00,2647149.00,0.04,2830668.00,46.85,43.81,-0.06,0.00,0.00,,FR0000120404,-,-,-,-,AC FP Equity
16679,Coty Inc,COTY,COTY US Equity,United States,Consumer Staples,Equity,Foreign Stock,254449.00,2637015.00,0.04,2726437.00,10.72,10.36,-0.03,0.00,0.00,222070203.00,US2220702037,-,-,-,-,COTY US Equity
38606,Dufry Ag,DUFN.SW,DUFN SW Equity,Switzerland,Consumer Discretionary,Equity,Foreign Stock,37494.00,2629907.00,0.04,2757004.00,73.53,70.14,-0.05,0.00,0.00,,CH0023405456,-,-,-,-,DUFN VX Equity
28169,Wynn Resorts Ltd.,WYNN,WYNN US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,20612.00,2617369.00,0.04,2464615.00,119.57,126.98,0.06,0.00,0.00,983134107.00,US9831341071,-,-,-,-,WYNN US Equity
1248,Alibaba Group Holding Ltd,BABA,BABA US Equity,China,Consumer Discretionary,Equity,Foreign Stock,11790.00,2510553.00,0.04,2989155.00,253.53,212.94,-0.16,0.00,0.00,01609W102,US01609W1027,-,-,-,-,EQ0000000035266994 Equity
43255,Alsea Sab De Cv,ALSEA.MX,ALSEA* MM Equity,Mexico,Consumer Discretionary,Equity,Domestic Stock,1024774.00,2510361.00,0.04,1629163.00,1.59,2.45,0.54,0.00,0.00,P0212A104,MXP001391012,-,-,-,-,ALSEA* MM Equity
40359,Realreal Inc. (The),REAL,REAL US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,150054.00,2441305.00,0.04,3527998.00,23.51,16.27,-0.31,0.00,0.00,88339P101,US88339P1012,-,-,-,-,REAL US Equity
49006,Ke Holdings Inc,BEKE,BEKE US Equity,United States,Real Estate,Equity,Domestic Stock,100570.00,2401147.00,0.04,2546548.00,25.32,23.88,-0.06,0.00,0.00,482497104.00,US4824971042,-,-,-,-,BEKE US Equity
45110,"Tal Education Group, Adr",TAL,TAL US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,362770.00,2370886.00,0.04,7494959.00,20.66,6.54,-0.68,0.00,0.00,874080104.00,US8740801043,-,-,-,-,TAL US Equity
8718,Atlantia Spa,ATL.MI,ATL IM Equity,Europe,Utilities,Equity,Foreign Stock,94968.00,2242336.00,0.03,2234420.00,23.53,23.61,0.00,0.00,0.00,,IT0003506190,-,-,-,-,IT0003506190 Equity
43496,Thyssenkrupp Ag,TKA,TKA GR Equity,Europe,Materials,Equity,Foreign Stock,166219.00,2234579.00,0.03,2437191.00,14.66,13.44,-0.08,0.00,0.00,D8398Q119,DE0007500001,-,-,-,-,TKA GR Equity
48513,Madison Square Garden Entertainment Corp,MSGE,MSGE US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,23407.00,2207697.00,0.03,2104171.00,89.89,94.32,0.05,0.00,0.00,55826T102,US55826T1025,-,-,-,-,MSGE US Equity
25528,Amadeus IT Holding SA,AMS.MC,AMS SM Equity,Europe,Information Technology,Equity,Foreign Stock,28466.00,2177127.00,0.03,2455050.00,86.24,76.48,-0.11,0.00,0.00,,ES0109067019,-,-,-,-,ES0109067019 Equity
13294,TENCENT HOLDINGS LTD,TCEHY,TCEHY US Equity,United States,Communication Services,Equity,Foreign Stock,28166.00,2159649.00,0.03,2050517.00,72.80,76.68,0.05,0.00,0.00,88032Q109,US88032Q1094,-,-,-,-,B3F2DZ7 US Equity
22571,Prosus Nv,PROSF,PROSF Equity,Europe,Consumer Discretionary,Equity,Foreign Stock,20257.00,2150089.00,0.03,2041210.00,100.77,106.14,0.05,0.00,0.00,,NL0013654783,-,-,-,-,NL0013654783 Equity
47562,Cielo Sa,CIEL3,CIEL3 BZ Equity,Brazil,Information Technology,Equity,Domestic Stock,2881500.00,2082080.00,0.03,2783229.00,0.97,0.72,-0.25,0.00,0.00,P2859E100,BRCIELACNOR3,-,-,-,-,CIEL3 BZ Equity
48370,Irhythm Technologies Inc.,IRTC,IRTC US Equity,United States,Health Care,Equity,Domestic Stock,34924.00,2034864.00,0.03,2326971.00,66.63,58.27,-0.13,0.00,0.00,450056106.00,US4500561067,-,-,-,-,IRTC US Equity
38802,Sabre Corporation,SABR,SABR US Equity,United States,Information Technology,Equity,Domestic Stock,146057.00,2030502.00,0.03,2293786.00,15.70,13.90,-0.11,0.00,0.00,78573M104,US78573M1045,-,-,-,-,SABR US Equity
49547,Kingsoft Cloud Holdings Ltd,KC,KC US Equity,United States,Information Technology,Equity,Domestic Stock,52936.00,2011122.00,0.03,1914259.00,36.16,37.99,0.05,0.00,0.00,49639K101,US49639K1016,-,-,-,-,KC US Equity
49359,Yatsen Holding Ltd,YSG,YSG US Equity,United States,Consumer Discretionary,Equity,Domestic Stock,272591.00,2004640.00,0.03,2067052.00,7.58,7.35,-0.03,0.00,0.00,985194109.00,US9851941099,-,-,-,-,YSG US Equity
49005,"Autohome Inc., Adr",ATHM,ATHM US Equity,United States,Communication Services,Equity,Domestic Stock,38396.00,1944644.00,0.03,2043278.00,53.22,50.65,-0.05,0.00,0.00,05278C107,US05278C1071,-,-,-,-,ATHM US Equity
40752,"Melia Hotels International, S.A.",MEL.MC,MEL SM Equity,Europe,Consumer Discretionary,Equity,Foreign Stock,204105.00,1864764.00,0.03,1858737.00,9.11,9.14,0.00,0.00,0.00,,ES0176252718,-,-,-,-,MEL SM Equity
40836,Johnson Service Group Plc,JSG.L,JSG LN Equity,United Kingdom,Industrials,Equity,Foreign Stock,688907.00,1790592.00,0.03,1717219.00,2.49,2.60,0.04,0.00,0.00,,GB0004762810,-,-,-,-,JSG LN Equity
40753,Ssp Group Plc,SSPG.L,SSPG LN Equity,United Kingdom,Consumer Discretionary,Equity,Foreign Stock,369508.00,1758204.00,0.03,1910124.00,5.17,4.76,-0.08,0.00,0.00,,GB00BGBN7C04,-,-,-,-,SSPPF Equity
38602,Autogrill S.P.A.,AGL.MI,AGL IM Equity,Europe,Consumer Discretionary,Equity,Foreign Stock,178577.00,1725762.00,0.03,1457977.00,8.16,9.66,0.18,0.00,0.00,,IT0001137345,-,-,-,-,AGL IM Equity
46846,"New Oriental Education & Technology Group Inc., Ad",EDU,EDU US Equity,United States,Consumer Staples,Equity,Domestic Stock,569481.00,1455751.00,0.02,3276293.00,5.75,2.56,-0.56,0.00,0.00,647581107.00,US6475811070,-,-,-,-,EDU US Equity
48704,New Oriental Education & Technology Group Inc,9901.HK,9901 HK Equity,Hong Kong,Consumer Discretionary,Equity,Foreign Stock,509900.00,1276875.00,0.02,1441329.00,2.83,2.50,-0.11,0.00,0.00,0.00,KYG6470A1168,-,-,-,-,9901 HK Equity
8739,Aena Sa,AENA.SM,AENA SM Equity,Europe,Industrials,Equity,Foreign Stock,6255.00,1265052.00,0.02,1306650.00,208.90,202.25,-0.03,0.00,0.00,,ES0105046009,-,-,-,-,ES0105046009 Equity
38605,Mtu Aero Engines Ag,MTX.DE,MTX GR Equity,Europe,Industrials,Equity,Foreign Stock,4247.00,1245449.00,0.02,1250305.00,294.40,293.25,0.00,0.00,0.00,,DE000A0D9PT0,-,-,-,-,MTX GR Equity
49548,Alibaba Group Holding Lt Call 180 12/17/21,BABA,BABA US 12/17/21 C180 Equity,United States,Consumer Discretionary,Option,Option,500.00,720921.00,0.01,845744.00,16.91,14.42,-0.15,0.00,0.00,,BABAL180U,-,-,-,-,
48199,Spdr S&P 500 ETF Trust Put 430 09/17/21,SPY,SPY US 09/17/21 P430 Equity,United States,Equity Index,Option,Option,3000.00,710217.00,0.01,2297892.00,7.66,2.37,-0.69,0.00,0.00,,SPYU430U,-,-,-,-,
