Date,FundName,Class,NAV,AdjustedNAV,Dividend,DivYield,SharesOustanding,AUM
2020-10-15,Black Diamond Distressed Opportunities Fund,A,20.0,19.950723410876588,0.0,0.0,787.682,15753.64
2020-10-16,Black Diamond Distressed Opportunities Fund,A,20.0,19.950723410876588,0.0,0.0,787.682,15753.64
2020-10-19,Black Diamond Distressed Opportunities Fund,A,19.97710143,19.927881259047858,0.0,0.0,2037.682,40706.97999608526
2020-10-20,Black Diamond Distressed Opportunities Fund,A,20.03238912,19.98303272960867,0.0,0.0,7043.414,141096.40998125568
2020-10-21,Black Diamond Distressed Opportunities Fund,A,19.90941893,19.860365517185024,0.0,0.0,7043.414,140230.280023427
2020-10-22,Black Diamond Distressed Opportunities Fund,A,20.10236797,20.052839163656728,0.0,0.0,7043.414,141589.2999930496
2020-10-23,Black Diamond Distressed Opportunities Fund,A,20.2435637,20.193687011458067,0.0,0.0,7043.414,142583.7999744718
2020-10-26,Black Diamond Distressed Opportunities Fund,A,19.90330216,19.85426381786312,0.0,0.0,9440.025,187887.669972954
2020-10-27,Black Diamond Distressed Opportunities Fund,A,19.66031204,19.611872384078335,0.0,0.0,13876.088,272808.21997449955
2020-10-28,Black Diamond Distressed Opportunities Fund,A,19.2890698,19.24154482164462,0.0,0.0,13876.088,267656.8299829424
2020-10-29,Black Diamond Distressed Opportunities Fund,A,19.322487,19.274879687362915,0.0,0.0,13876.088,268120.52999085595
2020-10-30,Black Diamond Distressed Opportunities Fund,A,19.32010737,19.272505920365404,0.0,0.0,13876.088,268087.51003556856
2020-11-02,Black Diamond Distressed Opportunities Fund,A,19.51979117,19.47169773353705,0.0,0.0,13876.088,270858.340016543
2020-11-03,Black Diamond Distressed Opportunities Fund,A,19.8449109,19.796016423969487,0.0,0.0,13876.088,275369.7300005592
2020-11-04,Black Diamond Distressed Opportunities Fund,A,20.10234225,20.052813507026414,0.0,0.0,13876.088,278941.87006711797
2020-11-05,Black Diamond Distressed Opportunities Fund,A,20.39768557,20.347429151454914,0.0,0.0,13876.088,283040.07996565016
2020-11-06,Black Diamond Distressed Opportunities Fund,A,20.38599928,20.33577165448045,0.0,0.0,13876.088,282877.91997721663
2020-11-09,Black Diamond Distressed Opportunities Fund,A,22.89362626,22.837220269262037,0.0,0.0,14611.887,334519.07993135264
2020-11-10,Black Diamond Distressed Opportunities Fund,A,23.13088302,23.073892469068074,0.0,0.0,14830.289,343037.6800117928
2020-11-11,Black Diamond Distressed Opportunities Fund,A,22.94772063,22.89118135995982,0.0,0.0,15911.094,365123.34002966917
2020-11-12,Black Diamond Distressed Opportunities Fund,A,22.35134645,22.296276544231407,0.0,0.0,16346.868,365374.51004041865
