,Portfolio,AssetType,AssetNumber,Ticker,Name,Units,CurrentMarketValue,AverageCost,LastPrice,CurrentWeight,PostTradeMarketValue,PostTradeWeight,IndicativeYield,OptPC,OptStrike,OptExpiryYYYYMMDD,symbol,max_date,VALUE_DATE,EXPIRY,STRIKE,RISK_MULTIPLIER,RISK_UNITS
86,BDOP_Portfolio,EQ,1,ANGI US Equity,Angi Inc,240423.0,3169760.792,12.2956,10.28,5.1,3169761.0,5.1,0.0,,0.0,,ANGI,2050-12-31,2021-08-24,,1.0,1.0,240423.0
87,BDOP_Portfolio,EQ,2,SSPG LN Equity,SSP Group Plc,664381.0,3080472.8264,296.6003,265.299805,5.0,3080473.0,5.0,0.0,,0.0,,SSPG,2050-12-31,2021-08-24,,1.0,1.0,664381.0
88,BDOP_Portfolio,EQ,3,ATL IM Equity,Atlantia SpA,126336.0,2986523.7845,15.846,15.75,4.8,2986524.0,4.8,0.0,,0.0,,ATL,2050-12-31,2021-08-24,,1.0,1.0,126336.0
89,BDOP_Portfolio,EQ,4,TKA GR Equity,thyssenkrupp AG,214433.0,2726690.6711,9.8835,8.472,4.4,2726691.0,4.4,0.0,,0.0,,TKA,2050-12-31,2021-08-24,,1.0,1.0,214433.0
90,BDOP_Portfolio,EQ,5,MSGE US Equity,Madison Square Garden Entertainment Corp,32215.0,2579754.7504,71.3477,62.440002,4.2,2579755.0,4.2,0.0,,0.0,,MSGE,2050-12-31,2021-08-24,,1.0,1.0,32215.0
91,BDOP_Portfolio,EQ,6,COTY US Equity,Coty Inc,254449.0,2561697.2381,8.4899,7.85,4.1,2561697.0,4.1,0.0,,0.0,,COTY,2050-12-31,2021-08-24,,1.0,1.0,254449.0
92,BDOP_Portfolio,EQ,7,AC FP Equity,Accor SA,60418.0,2541837.1397,31.4883,28.029999,4.1,2541837.0,4.1,0.0,,0.0,,AC,2050-12-31,2021-08-24,,1.0,1.0,60418.0
93,BDOP_Portfolio,EQ,8,ALSEA* MM Equity,Alsea SAB de CV,1024774.0,2478737.0771,25.5517,38.419998,4.0,2478737.0,4.0,0.0,,0.0,,ALSEA*,2050-12-31,2021-08-24,,1.0,1.0,1024774.0
94,BDOP_Portfolio,EQ,9,DUFN SW Equity,Dufry AG,37494.0,2427535.2207,53.3232,46.287994,3.9,2427535.0,3.9,0.0,,0.0,,DUFN,2050-12-31,2021-08-24,,1.0,1.0,37494.0
95,BDOP_Portfolio,EQ,10,TAL US Equity,TAL Education Group,365270.0,2403193.5694,16.3838,5.12,3.9,2403194.0,3.9,0.0,,0.0,,TAL,2050-12-31,2021-08-24,,1.0,1.0,365270.0
96,BDOP_Portfolio,EQ,11,REAL US Equity,RealReal Inc/The,150054.0,2376686.6227,18.6411,12.34,3.8,2376687.0,3.8,0.0,,0.0,,REAL,2050-12-31,2021-08-24,,1.0,1.0,150054.0
97,BDOP_Portfolio,EQ,12,PLAY US Equity,Dave & Buster's Entertainment Inc,57386.0,2352178.0323,35.5086,31.970001,3.8,2352178.0,3.8,0.0,,0.0,,PLAY,2050-12-31,2021-08-24,,1.0,1.0,57386.0
98,BDOP_Portfolio,EQ,13,WYNN US Equity,Wynn Resorts Ltd,20612.0,2334200.8677,94.9448,88.279999,3.8,2334201.0,3.8,0.0,,0.0,,WYNN,2050-12-31,2021-08-24,,1.0,1.0,20612.0
99,BDOP_Portfolio,EQ,14,MEL SM Equity,Melia Hotels International SA,258179.0,2206462.8536,6.1323,5.693999,3.6,2206463.0,3.6,0.0,,0.0,,MEL,2050-12-31,2021-08-24,,1.0,1.0,258179.0
