Symbol,LastStockPrice,LastStockPriceDate,ZoneYYYYMMDD,MMRatio,StdevRatio,ZoneNum,ZoneLabel,BDPos,OptionTicker,Strike,OptionBid,ImpliedYield,StrikeRatio,LongName,Currency,ShareOut,MarketCap,MarketCapUSD,Exchange,MarketCapComma,MarketCapLabel,BDPosDetails,BDPosUSDValue,ExchangeRate,BDCallOptPos,BDCallOptDets,OptionExpiry,BDEQPos,BDEQPosUSDValue,BDEQCallOptPos,MaxBTStrikeRatio,BTStrikeCount
0700.HK,460.2,20210924,20210924,0.27,0.27,5,p-v-,15500,,,,,,Tencent Holdings Limited,HKD,2147483647,4416235634688.0,567245.823553,HKG,"4,416,235.63 MM",Large Cap,"IN(8,600) EQ(6,900)",916214.99,7.7854,0,,,6900,407863.45,0,,
8697.T,2973.5,20210924,20210924,0.87,1.0,3,pHvH,21200,,,,,,Japan Exchange Group Inc.,JPY,529177984,1573510709248.0,14216.115185,JPX,"1,573,510.71 MM",Large Cap,"IN(11,900) EQ(9,300)",569527.94,110.685,0,,,9300,249840.09,0,,
AAPL,146.92,20210924,20210924,0.32,0.01,4,p-vL,6595,AAPL211217C00165000,165,1.36,0.03297,0.12306,Apple Inc.,USD,2147483647,2428616835072.0,2428616.835072,NMS,"2,428,616.84 MM",Large Cap,"IN(3,679) EQ(2,916)",968937.39,1.0,0,,20211217,2916,428418.71,0,18.527992,53
ABNB,175.88,20210924,20210924,1,1.0,3,pHvH,0,ABNB220121C00220000,220,3.4,0.046364,0.250853,Airbnb Inc.,USD,336553984,110565736448.0,110565.736448,NMS,"110,565.74 MM",Large Cap,,0,1.0,0,,20220121,0,0.0,0,,
AXON,179.75,20210924,20210924,0.35,0.03,4,p-vL,0,AXON211217C00220000,220,2.85,0.051818,0.223922,Axon Enterprise Inc.,USD,65675700,11805207552.0,11805.207552,NMS,"11,805.21 MM",Large Cap,,0,1.0,0,,20211217,0,0.0,0,,
ABT,124.37,20210924,20210924,0.59,0.0,4,p-vL,0,ABT220121C00135000,135,1.98,0.044,0.085471,Abbott Laboratories,USD,1772819968,220485632000.0,220485.632,NYQ,"220,485.63 MM",Large Cap,,0,1.0,0,,20220121,0,0.0,0,18.960471,33
AC.PA,30.47,20210924,20210924,1,0.01,1,pHvL,61285,,,,,,Accor SA,EUR,261839008,7978234368.0,9348.763028,PAR,"7,978.23 MM",Mid Cap,"IN(7,279) OP(45,568) EQ(8,438)",2188134.39,0.8534,0,,,8438,301272.38,0,,
ADBE,622.71,20210924,20210924,0.32,0.0,4,p-vL,0,ADBE211217C00700000,700,6.3,0.036,0.124119,Adobe Inc.,USD,476400000,296659058688.0,296659.058688,NMS,"296,659.06 MM",Large Cap,,0,1.0,0,,20211217,0,0.0,0,17.918481,27
ADI,178.53,20210924,20210924,1,0.4,2,pHv-,0,ADI211217C00195000,195,2.1,0.043077,0.092253,Analog Devices Inc.,USD,537411008,95943983104.0,95943.983104,NMS,"95,943.98 MM",Large Cap,,0,1.0,0,,20211217,0,0.0,0,19.21793,24
ADP,202.22,20210924,20210924,0.28,0.42,5,p-v-,0,ADP220121C00230000,230,1.15,0.015,0.137375,Automatic Data Processing Inc.,USD,423080992,85555437568.0,85555.437568,NMS,"85,555.44 MM",Large Cap,,0,1.0,0,,20220121,0,0.0,0,16.665171,26
ADS,102.38,20210924,20210924,1,0.01,1,pHvL,0,ADS211217C00130000,130,1.25,0.038462,0.269779,Alliance Data Systems Corporation,USD,49756000,5094019072.0,5094.019072,NYQ,"5,094.02 MM",Mid Cap,,0,1.0,0,,20211217,0,0.0,0,12.796092,23
ADSK,294.67,20210924,20210924,0.24,0.98,9,pLvH,0,ADSK220121C00340000,340,5.3,0.046765,0.153833,Autodesk Inc.,USD,219850000,64783204352.0,64783.204352,NMS,"64,783.20 MM",Large Cap,,0,1.0,0,,20220121,0,0.0,0,19.94638,20
AENA.MC,141.05,20210924,20210924,1,0.16,1,pHvL,13067,,,,,,Aena S.M.E. S.A.,EUR,150000000,21157500928.0,24792.009524,MCE,"21,157.50 MM",Large Cap,"IN(4,023) OP(6,255) EQ(2,789)",2159714.54,0.8534,0,,,2789,460966.09,0,,
AGL.MI,6.93,20210924,20210924,1,0.21,1,pHvL,127048,,,,,,Autogrill S.p.A.,EUR,251218000,1741945600.0,2041.183033,MIL,"1,741.95 MM",Small Cap,"OP(127,048)",1032283.61,0.8534,0,,,0,0.0,0,,
