,Portfolio,AssetType,AssetNumber,Ticker,Name,Units,CurrentMarketValue,AverageCost,LastPrice,CurrentWeight,PostTradeMarketValue,PostTradeWeight,IndicativeYield,OptPC,OptStrike,OptExpiryYYYYMMDD
0,BDIN_Portfolio,EQ,1,AMZN US Equity,Amazon.com Inc,260.0,1147208.4293,3207.4774,3484.159912,2.6,1147208.0,2.6,3.1,,0.0,
1,BDIN_Portfolio,EQ,2,WDAY US Equity,Workday Inc,3182.0,1088014.896,225.6212,269.969971,2.5,1088015.0,2.5,2.5,,0.0,
2,BDIN_Portfolio,EQ,3,CRM US Equity,salesforce.com Inc,3119.0,1029620.5415,231.7257,260.669922,2.4,1029621.0,2.4,0.0,,0.0,
3,BDIN_Portfolio,EQ,4,FB US Equity,Facebook Inc,2122.0,1015799.7024,261.825,378.0,2.3,1015800.0,2.3,0.0,,0.0,
4,BDIN_Portfolio,EQ,5,RH US Equity,RH,1046.0,957725.1312,423.3103,723.0,2.2,957725.0,2.2,0.0,,0.0,
5,BDIN_Portfolio,EQ,6,DB1 GR Equity,Deutsche Boerse AG,4198.0,903410.2989,134.764,143.699997,2.1,903410.0,2.1,2.1,,0.0,
6,BDIN_Portfolio,EQ,7,AMS SM Equity,Amadeus IT Group SA,10845.0,864351.2822,55.9211,53.220001,2.0,864351.0,2.0,0.0,,0.0,
7,BDIN_Portfolio,EQ,8,MTX GR Equity,MTU Aero Engines AG,2974.0,842206.0388,195.9928,189.100006,1.9,842206.0,1.9,0.7,,0.0,
8,BDIN_Portfolio,EQ,9,MELI US Equity,MercadoLibre Inc,353.0,841958.1695,1435.5701,1881.02002,1.9,841958.0,1.9,0.0,,0.0,
9,BDIN_Portfolio,EQ,10,PRX NA Equity,Prosus NV,7357.0,819047.5875,67.9158,74.339996,1.9,819048.0,1.9,0.0,,0.0,
10,BDIN_Portfolio,EQ,11,ALSEA* MM Equity,Alsea SAB de CV,310900.0,810565.9868,31.6852,41.050003,1.9,810566.0,1.9,0.0,,0.0,
11,BDIN_Portfolio,EQ,12,AENA SM Equity,Aena SME SA,4023.0,801587.185,133.9111,133.050003,1.8,801587.0,1.8,0.0,,0.0,
12,BDIN_Portfolio,EQ,13,UBER US Equity,Uber Technologies Inc,15355.0,784239.9544,51.7411,40.330002,1.8,784240.0,1.8,0.0,,0.0,
13,BDIN_Portfolio,EQ,14,MANU US Equity,Manchester United Plc,35070.0,767450.5032,14.8846,17.279999,1.8,767451.0,1.8,1.0,,0.0,
14,BDIN_Portfolio,EQ,15,AAPL US Equity,Apple Inc,3679.0,717825.3525,123.2955,154.100006,1.6,717825.0,1.6,0.6,,0.0,
