,Portfolio,AssetType,AssetNumber,Ticker,Name,Units,CurrentMarketValue,AverageCost,LastPrice,CurrentWeight,PostTradeMarketValue,PostTradeWeight,IndicativeYield,OptPC,OptStrike,OptExpiryYYYYMMDD,symbol,max_date,VALUE_DATE,EXPIRY,STRIKE,RISK_MULTIPLIER,RISK_UNITS
83,BDOP_Portfolio,EQ,1,ANGI US Equity,Angi Inc,240423.0,3154326.5749,12.2956,10.35,4.7,3154327.0,4.7,0.0,,0.0,,ANGI,2050-12-31,2021-09-10,,1.0,1.0,240423.0
84,BDOP_Portfolio,EQ,2,COTY US Equity,Coty Inc,254449.0,2719656.6276,8.4899,8.44,4.0,2719657.0,4.0,0.0,,0.0,,COTY,2050-12-31,2021-09-10,,1.0,1.0,254449.0
85,BDOP_Portfolio,EQ,3,WYNN US Equity,Wynn Resorts Ltd,20612.0,2712888.8217,94.9448,103.900009,4.0,2712889.0,4.0,0.0,,0.0,,WYNN,2050-12-31,2021-09-10,,1.0,1.0,20612.0
86,BDOP_Portfolio,EQ,4,ALSEA* MM Equity,Alsea SAB de CV,1024774.0,2671749.5932,25.5517,41.050003,3.9,2671750.0,3.9,0.0,,0.0,,ALSEA*,2050-12-31,2021-09-10,,1.0,1.0,1024774.0
87,BDOP_Portfolio,EQ,5,AC FP Equity,Accor SA,60418.0,2604011.8731,31.4883,28.779999,3.8,2604012.0,3.8,0.0,,0.0,,AC,2050-12-31,2021-09-10,,1.0,1.0,60418.0
88,BDOP_Portfolio,EQ,6,BEKE US Equity,KE Holdings Inc,100570.0,2587993.6842,20.0781,20.279999,3.8,2587994.0,3.8,0.0,,0.0,,BEKE,2050-12-31,2021-09-10,,1.0,1.0,100570.0
89,BDOP_Portfolio,EQ,7,PLAY US Equity,Dave & Buster's Entertainment Inc,57386.0,2575553.6388,35.5086,35.430008,3.8,2575554.0,3.8,0.0,,0.0,,PLAY,2050-12-31,2021-09-10,,1.0,1.0,57386.0
90,BDOP_Portfolio,EQ,8,BABA US Equity,Alibaba Group Holding Ltd,11790.0,2498230.9353,201.2966,167.229996,3.7,2498231.0,3.7,0.0,,0.0,,BABA,2050-12-31,2021-09-10,,1.0,1.0,11790.0
91,BDOP_Portfolio,EQ,9,TAL US Equity,TAL Education Group,362770.0,2480824.6741,16.3838,5.39,3.7,2480825.0,3.7,0.0,,0.0,,TAL,2050-12-31,2021-09-10,,1.0,1.0,362770.0
92,BDOP_Portfolio,EQ,10,DUFN SW Equity,Dufry AG,37494.0,2402450.4522,53.3232,46.387009,3.5,2402450.0,3.5,0.0,,0.0,,DUFN,2050-12-31,2021-09-10,,1.0,1.0,37494.0
93,BDOP_Portfolio,EQ,11,REAL US Equity,RealReal Inc/The,150054.0,2398158.2045,18.6411,12.61,3.5,2398158.0,3.5,0.0,,0.0,,REAL,2050-12-31,2021-09-10,,1.0,1.0,150054.0
94,BDOP_Portfolio,EQ,12,MSGE US Equity,Madison Square Garden Entertainment Corp,23407.0,2315089.1778,71.3477,78.100006,3.4,2315089.0,3.4,0.0,,0.0,,MSGE,2050-12-31,2021-09-10,,1.0,1.0,23407.0
