,Portfolio,AssetType,AssetNumber,Ticker,Name,Units,CurrentMarketValue,AverageCost,LastPrice,CurrentWeight,PostTradeMarketValue,PostTradeWeight,IndicativeYield,OptPC,OptStrike,OptExpiryYYYYMMDD,symbol,max_date,VALUE_DATE,EXPIRY,STRIKE,RISK_MULTIPLIER,RISK_UNITS
0,BDIN_Portfolio,EQ,1,AMZN US Equity,Amazon.com Inc,260.0,1064173.3572,3207.4774,3241.439941,2.5,1064173.0,2.5,3.1,,0.0,,AMZN,2050-12-31,2021-08-18,,1.0,1.0,260.0
1,BDIN_Portfolio,EQ,2,CRM US Equity,salesforce.com Inc,3119.0,971951.7543,231.7257,246.830002,2.3,971952.0,2.3,2.5,,0.0,,CRM,2050-12-31,2021-08-18,,1.0,1.0,3119.0
2,BDIN_Portfolio,EQ,3,FB US Equity,Facebook Inc,2122.0,960296.3804,261.825,358.370117,2.2,960296.0,2.2,0.0,,0.0,,FB,2050-12-31,2021-08-18,,1.0,1.0,2122.0
3,BDIN_Portfolio,EQ,4,WDAY US Equity,Workday Inc,3182.0,929436.7465,225.6212,231.25,2.2,929437.0,2.2,0.0,,0.0,,WDAY,2050-12-31,2021-08-18,,1.0,1.0,3182.0
4,BDIN_Portfolio,EQ,5,DB1 GR Equity,Deutsche Boerse AG,4198.0,922495.2388,134.764,148.649994,2.2,922495.0,2.2,2.0,,0.0,,DB1,2050-12-31,2021-08-18,,1.0,1.0,4198.0
5,BDIN_Portfolio,EQ,6,RH US Equity,RH,1046.0,907063.505,423.3103,686.870117,2.1,907064.0,2.1,0.0,,0.0,,RH,2050-12-31,2021-08-18,,1.0,1.0,1046.0
6,BDIN_Portfolio,EQ,7,MTX GR Equity,MTU Aero Engines AG,2974.0,889392.8974,195.9928,202.300003,2.1,889393.0,2.1,0.6,,0.0,,MTX,2050-12-31,2021-08-18,,1.0,1.0,2974.0
7,BDIN_Portfolio,EQ,8,AMS SM Equity,Amadeus IT Group SA,10845.0,817949.9317,55.9211,51.019989,1.9,817950.0,1.9,0.0,,0.0,,AMS,2050-12-31,2021-08-18,,1.0,1.0,10845.0
8,BDIN_Portfolio,EQ,9,AENA SM Equity,Aena SME SA,4023.0,804348.2286,133.9111,135.25,1.9,804348.0,1.9,0.0,,0.0,,AENA,2050-12-31,2021-08-18,,1.0,1.0,4023.0
9,BDIN_Portfolio,EQ,10,MELI US Equity,MercadoLibre Inc,353.0,787926.839,1435.5701,1767.120117,1.8,787927.0,1.8,0.0,,0.0,,MELI,2050-12-31,2021-08-18,,1.0,1.0,353.0
