,Symbol,Portfolio,Shares,Options,NetPosition,ContractsToSell,PercentCovered,CapacityRemaining,OptionExpiry,Strike,OptionBid,LastStockPrice,MMRatio,StdevRatio,ZoneLabel,OptionExpiry,BDCallOptDets,Strike,Quantity,Security,Calls/Puts,Ask
0,AAPL,BDEQ_Portfolio,2916.0,-2900.0,16.0,0.0,0.9945130315500685,0.0054869684499314125,2021-12-17,175.0,2.01,154.07,0.87,0.06,pHvL,2021-12-17,IN(-36) EQ(-29),175.0,0.0,AAPL,C,2.01
1,AMT,BDEQ_Portfolio,1103.0,-1100.0,3.0,0.0,0.9972801450589301,0.0027198549410698096,2022-01-21,330.0,4.96,296.82,0.8,0.14,pHvL,2022-01-21,IN(-16) EQ(-11),330.0,0.0,AMT,C,4.96
2,AMZN,BDEQ_Portfolio,207.0,0.0,207.0,2.0,0.0,1.0,2021-12-17,3900.0,54.4,3484.16,0.55,0.79,p-vH,2021-12-17,,3900.0,2.0,AMZN,C,54.4
3,ANGI,BDEQ_Portfolio,35586.0,0.0,35586.0,355.0,0.0,1.0,2021-11-19,20.0,0.16,10.36,0.12,0.28,pLv-,2021-11-19,,20.0,355.0,ANGI,C,0.16
4,AON,BDEQ_Portfolio,1273.0,0.0,1273.0,12.0,0.0,1.0,2021-12-17,330.0,2.8,292.38,1.0,1.0,pHvH,2021-12-17,,330.0,12.0,AON,C,2.8
5,AVGO,BDEQ_Portfolio,654.0,-600.0,54.0,0.0,0.9174311926605505,0.08256880733944955,2021-12-17,550.0,6.56,493.49,0.84,0.1,pHvL,2021-12-17,IN(-8) EQ(-6),550.0,0.0,AVGO,C,6.56
6,BABA,BDEQ_Portfolio,2858.0,13500.0,16358.0,163.0,-4.7235829251224635,5.7235829251224635,,,,,,,,,,,163.0,BABA,C,
7,BIIB,BDEQ_Portfolio,1074.0,0.0,1074.0,10.0,0.0,1.0,2022-01-21,400.0,7.0,300.15,0.0,0.04,pLvL,2022-01-21,,400.0,10.0,BIIB,C,7.0
8,CBOE,BDEQ_Portfolio,3949.0,0.0,3949.0,39.0,0.0,1.0,2021-12-17,140.0,2.0,124.29,0.61,0.59,p-v-,2021-12-17,,140.0,39.0,CBOE,C,2.0
9,CME,BDEQ_Portfolio,798.0,0.0,798.0,7.0,0.0,1.0,2021-12-17,210.0,2.8,192.46,0.0,1.0,pLvH,2021-12-17,,210.0,7.0,CME,C,2.8
10,COIN,BDEQ_Portfolio,2205.0,5000.0,7205.0,72.0,-2.2675736961451247,3.2675736961451247,2021-12-17,370.0,4.8,256.42,0.6,0.29,p-v-,2021-12-17,EQ(--50),370.0,72.0,COIN,C,4.8
