,Symbol,Portfolio,Shares,Options,NetPosition,ContractsToSell,PercentCovered,CapacityRemaining,OptionExpiry,Strike,OptionBid,LastStockPrice,MMRatio,StdevRatio,ZoneLabel,OptionExpiry,BDCallOptDets,Strike,Quantity,Security,Calls/Puts,Ask
0,AAPL,BDIN_Portfolio,3679.0,-3600.0,79.0,0.0,0.9785267735797771,0.021473226420222886,2021-12-17,175.0,2.01,154.07,0.87,0.06,pHvL,2021-12-17,IN(-36) EQ(-29),175.0,0.0,AAPL,C,2.01
1,AMT,BDIN_Portfolio,1605.0,-1600.0,5.0,0.0,0.9968847352024922,0.003115264797507788,2022-01-21,330.0,4.96,296.82,0.8,0.14,pHvL,2022-01-21,IN(-16) EQ(-11),330.0,0.0,AMT,C,4.96
2,AMZN,BDIN_Portfolio,260.0,0.0,260.0,2.0,0.0,1.0,2021-12-17,3900.0,54.4,3484.16,0.55,0.79,p-vH,2021-12-17,,3900.0,2.0,AMZN,C,54.4
3,ANGI,BDIN_Portfolio,38753.0,0.0,38753.0,387.0,0.0,1.0,2021-11-19,20.0,0.16,10.36,0.12,0.28,pLv-,2021-11-19,,20.0,387.0,ANGI,C,0.16
4,AON,BDIN_Portfolio,1499.0,0.0,1499.0,14.0,0.0,1.0,2021-12-17,330.0,2.8,292.38,1.0,1.0,pHvH,2021-12-17,,330.0,14.0,AON,C,2.8
5,AVGO,BDIN_Portfolio,804.0,-800.0,4.0,0.0,0.9950248756218906,0.004975124378109453,2021-12-17,550.0,6.56,493.49,0.84,0.1,pHvL,2021-12-17,IN(-8) EQ(-6),550.0,0.0,AVGO,C,6.56
6,BABA,BDIN_Portfolio,2862.0,0.0,2862.0,28.0,0.0,1.0,,,,,,,,,,,28.0,BABA,C,
7,BIIB,BDIN_Portfolio,902.0,0.0,902.0,9.0,0.0,1.0,2022-01-21,400.0,7.0,300.15,0.0,0.04,pLvL,2022-01-21,,400.0,9.0,BIIB,C,7.0
8,CBOE,BDIN_Portfolio,4453.0,0.0,4453.0,44.0,0.0,1.0,2021-12-17,140.0,2.0,124.29,0.61,0.59,p-v-,2021-12-17,,140.0,44.0,CBOE,C,2.0
9,COIN,BDIN_Portfolio,1640.0,0.0,1640.0,16.0,0.0,1.0,2021-12-17,370.0,4.8,256.42,0.6,0.29,p-v-,2021-12-17,EQ(--50),370.0,16.0,COIN,C,4.8
10,CRM,BDIN_Portfolio,3119.0,-3100.0,19.0,0.0,0.9939083039435717,0.006091696056428343,2021-12-17,300.0,3.58,260.74,0.75,0.64,pHv-,2021-12-17,IN(-31) EQ(-34),300.0,0.0,CRM,C,3.58
11,CTVA,BDIN_Portfolio,10050.0,0.0,10050.0,100.0,0.0,1.0,2021-12-17,50.0,0.7,43.58,0.53,0.09,p-vL,2021-12-17,,50.0,100.0,CTVA,C,0.7
12,EDU,BDIN_Portfolio,174984.0,0.0,174984.0,1749.0,0.0,1.0,2021-12-17,7.5,0.1,2.25,0.08,0.32,pLv-,2021-12-17,,7.5,1749.0,EDU,C,0.1
13,ETSY,BDIN_Portfolio,2045.0,0.0,2045.0,20.0,0.0,1.0,2021-12-17,290.0,3.55,216.63,0.91,0.18,pHvL,2021-12-17,,290.0,20.0,ETSY,C,3.55
14,FB,BDIN_Portfolio,2122.0,-2100.0,22.0,0.0,0.9896324222431668,0.010367577756833177,2021-12-17,430.0,5.19,378.0,0.91,0.26,pHv-,2021-12-17,IN(-21) EQ(-19),430.0,0.0,FB,C,5.19
15,FLT,BDIN_Portfolio,2020.0,0.0,2020.0,20.0,0.0,1.0,2021-11-19,300.0,2.88,264.6,0.89,0.03,pHvL,2021-11-19,,300.0,20.0,FLT,C,2.88
16,FTDR,BDIN_Portfolio,7965.0,0.0,7965.0,79.0,0.0,1.0,2022-01-21,50.0,1.65,46.21,0.5,0.91,p-vH,2022-01-21,,50.0,79.0,FTDR,C,1.65
17,GOOGL,BDIN_Portfolio,97.0,0.0,97.0,0.0,0.0,1.0,2021-12-17,3050.0,72.6,2870.82,0.93,0.96,pHvH,2021-12-17,EQ(-1),3050.0,0.0,GOOGL,C,72.6
18,GRMN,BDIN_Portfolio,59.0,0.0,59.0,0.0,0.0,1.0,2022-01-21,190.0,3.5,173.11,0.84,0.98,pHvH,2022-01-21,,190.0,0.0,GRMN,C,3.5
19,INTU,BDIN_Portfolio,456.0,-400.0,56.0,0.0,0.8771929824561404,0.12280701754385964,2021-12-17,640.0,7.5,567.75,1.0,0.0,pHvL,2021-12-17,IN(-4) EQ(-6),640.0,0.0,INTU,C,7.5
20,JKHY,BDIN_Portfolio,2523.0,-2500.0,23.0,0.0,0.9908838684106223,0.009116131589377725,2021-12-17,185.0,3.0,171.25,0.54,0.0,p-vL,2021-12-17,IN(-25) EQ(-23),185.0,0.0,JKHY,C,3.0
21,JNJ,BDIN_Portfolio,1832.0,0.0,1832.0,18.0,0.0,1.0,2021-11-19,180.0,1.27,168.07,0.29,0.47,p-v-,2021-11-19,,180.0,18.0,JNJ,C,1.27
22,LMT,BDIN_Portfolio,774.0,0.0,774.0,7.0,0.0,1.0,2021-12-17,375.0,4.6,348.93,0.0,1.0,pLvH,2021-12-17,,375.0,7.0,LMT,C,4.6
