,Symbol,Portfolio,Shares,Options,NetPosition,ContractsToSell,PercentCovered,CapacityRemaining,OptionExpiry,Strike,OptionBid,LastStockPrice,MMRatio,StdevRatio,ZoneLabel,OptionExpiry,BDCallOptDets,Strike,Quantity,Security,Calls/Puts,Ask
0,ANGI,BDOP_Portfolio,240423.0,0.0,240423.0,2404.0,0.0,1.0,2021-11-19,20.0,0.16,10.36,0.12,0.28,pLv-,2021-11-19,,20.0,2404.0,ANGI,C,0.16
1,ATHM,BDOP_Portfolio,38396.0,0.0,38396.0,383.0,0.0,1.0,2021-12-17,75.0,0.37,46.05,0.33,0.0,p-vL,2021-12-17,,75.0,383.0,ATHM,C,0.37
2,BABA,BDOP_Portfolio,11790.0,21333.333333333332,33123.33333333333,331.0,-1.8094430308170764,2.8094430308170764,,,,,,,,,,,331.0,BABA,C,
3,BEKE,BDOP_Portfolio,100570.0,0.0,100570.0,1005.0,0.0,1.0,2022-01-21,40.0,0.85,20.32,0.13,0.73,pLv-,2022-01-21,,40.0,1005.0,BEKE,C,0.85
4,BIDU,BDOP_Portfolio,0.0,40000.0,40000.0,400.0,-inf,inf,,,,,,,,,,,400.0,BIDU,C,
5,COTY,BDOP_Portfolio,254449.0,0.0,254449.0,2544.0,0.0,1.0,2021-11-19,13.0,0.13,8.46,0.35,0.82,p-vH,2021-11-19,,13.0,2544.0,COTY,C,0.13
6,EDU,BDOP_Portfolio,647881.0,0.0,647881.0,6478.0,0.0,1.0,2021-12-17,7.5,0.1,2.25,0.08,0.32,pLv-,2021-12-17,,7.5,6478.0,EDU,C,0.1
7,IRTC,BDOP_Portfolio,34924.0,0.0,34924.0,349.0,0.0,1.0,,,,,,,,,,,349.0,IRTC,C,
8,KC,BDOP_Portfolio,52936.0,0.0,52936.0,529.0,0.0,1.0,,,,,,,,,,,529.0,KC,C,
9,MSGE,BDOP_Portfolio,23407.0,0.0,23407.0,234.0,0.0,1.0,,,,,,,,,,,234.0,MSGE,C,
10,PLAY,BDOP_Portfolio,57386.0,0.0,57386.0,573.0,0.0,1.0,2021-12-17,50.0,0.86,35.44,0.43,0.03,p-vL,2021-12-17,,50.0,573.0,PLAY,C,0.86
11,REAL,BDOP_Portfolio,150054.0,0.0,150054.0,1500.0,0.0,1.0,2021-11-19,22.5,0.2,12.62,0.11,0.46,pLv-,2021-11-19,,22.5,1500.0,REAL,C,0.2
12,SABR,BDOP_Portfolio,146057.0,0.0,146057.0,1460.0,0.0,1.0,2021-12-17,12.0,0.86,11.12,0.52,0.0,p-vL,2021-12-17,,12.0,1460.0,SABR,C,0.86
13,TAL,BDOP_Portfolio,362770.0,510000.0,872770.0,8727.0,-1.4058494362819416,2.4058494362819416,,,,,,,,,,,8727.0,TAL,C,
14,TCEHY,BDOP_Portfolio,28166.0,0.0,28166.0,281.0,0.0,1.0,,,,,,,,,,,281.0,TCEHY,C,
15,WYNN,BDOP_Portfolio,20612.0,0.0,20612.0,206.0,0.0,1.0,2021-12-17,135.0,1.75,103.93,0.46,0.55,p-v-,2021-12-17,EQ(-58),135.0,206.0,WYNN,C,1.75
16,YSG,BDOP_Portfolio,272591.0,0.0,272591.0,2725.0,0.0,1.0,,,,,,,,,,,2725.0,YSG,C,
