,Symbol,LastStockPrice,LastStockPriceDate,ZoneYYYYMMDD,MMRatio,StdevRatio,ZoneNum,ZoneLabel,BDPos,OptionTicker,Strike,OptionBid,ImpliedYield,StrikeRatio,LongName,Currency,ShareOut,MarketCap,MarketCapUSD,Exchange,MarketCapComma,MarketCapLabel,BDPosDetails,BDPosUSDValue,ExchangeRate,BDCallOptPos,BDCallOptDets,OptionExpiry,BDEQPos,BDEQPosUSDValue,BDEQCallOptPos,MaxBTStrikeRatio,BTStrikeCount
0,0700.HK,425.4,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.02,1.0,9.0,pLvH,15500,,,,,,Tencent Holdings Limited,HKD,2147483647.0,4083818692608.0,524178.040099,HKG,"4,083,818.69 MM",Large Cap,"IN(8,600) EQ(6,900)",846333.53,7.7909,0,,,6900,376754.93,0,,
1,8697.T,2589.0,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.7,0.04,4.0,p-vL,21200,,,,,,Japan Exchange Group Inc.,JPY,532156000.0,1377751924736.0,12554.692225,JPX,"1,377,751.92 MM",Large Cap,"IN(11,900) EQ(9,300)",500153.09,109.74,0,,,9300,219406.78,0,,
2,AAPL,148.19,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.88,0.62,2.0,pHv-,6595,AAPL211119C00170000,170.0,1.53,0.036,0.147176,Apple Inc.,USD,2147483647.0,2449610375168.0,2449610.375168,NMS,"2,449,610.38 MM",Large Cap,"IN(3,679) EQ(2,916)",977313.06,1.0,-6500,IN(-36) EQ(-29),2021-11-19,2916,432122.05,-2900,18.527992,53.0
3,ABNB,143.7,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.56,0.01,4.0,p-vL,0,ABNB211015C00175000,175.0,1.2,0.041143,0.217815,Airbnb Inc.,USD,336553984.0,90336002048.0,90336.002048,NMS,"90,336.00 MM",Large Cap,,0.0,1.0,0,,2021-10-15,0,0.0,0,,
4,AXON,186.83,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.84,0.09,1.0,pHvL,0,AXON211217C00250000,250.0,2.9,0.0348,0.338115,Axon Enterprise Inc.,USD,65675700.0,12270191616.0,12270.191616,NMS,"12,270.19 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,,
5,ABT,126.32,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,1.0,0.65,2.0,pHv-,0,ABT211119C00140000,140.0,0.96,0.027429,0.108296,Abbott Laboratories,USD,1772819968.0,223942623232.0,223942.623232,NYQ,"223,942.62 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,18.960471,33.0
6,AC.PA,28.04,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.0,0.85,9.0,pLvH,76135,,,,,,Accor SA,EUR,261839008.0,7341965824.0,8594.130661,PAR,"7,341.97 MM",Mid Cap,"IN(7,279) OP(60,418) EQ(8,438)",2498917.8,0.8543,0,,,8438,276953.68,0,,
7,ADBE,647.34,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,1.0,0.35,2.0,pHv-,0,ADBE211217C00740000,740.0,11.3,0.045811,0.14314,Adobe Inc.,USD,476400000.0,308392787968.0,308392.787968,NMS,"308,392.79 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,17.918481,27.0
8,ADI,166.64,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.56,0.08,4.0,p-vL,0,ADI211217C00190000,190.0,3.4,0.053684,0.140182,Analog Devices Inc.,USD,368214016.0,61359181824.0,61359.181824,NMS,"61,359.18 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,19.21793,24.0
9,ADP,211.58,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.78,0.99,3.0,pHvH,0,ADP211119C00230000,230.0,1.95,0.033913,0.087059,Automatic Data Processing Inc.,USD,423080992.0,89515474944.0,89515.474944,NMS,"89,515.47 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,16.665171,26.0
10,ADS,91.06,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.05,0.24,7.0,pLvL,0,ADS211217C00125000,125.0,1.25,0.03,0.372721,Alliance Data Systems Corporation,USD,49756000.0,4530781184.0,4530.781184,NYQ,"4,530.78 MM",Mid Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,12.796092,23.0
11,ADSK,334.38,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,1.0,1.0,3.0,pHvH,0,ADSK211015C00380000,380.0,2.9,0.045789,0.136432,Autodesk Inc.,USD,220012992.0,73567944704.0,73567.944704,NMS,"73,567.94 MM",Large Cap,,0.0,1.0,0,,2021-10-15,0,0.0,0,19.94638,20.0
12,AENA.MC,133.95,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.28,0.82,6.0,p-vH,13067,,,,,,Aena S.M.E. S.A.,EUR,150000000.0,20092499968.0,23519.255493,MCE,"20,092.50 MM",Large Cap,"IN(4,023) OP(6,255) EQ(2,789)",2048840.7,0.8543,0,,,2789,437301.35,0,,
13,AGL.MI,6.15,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.52,0.98,6.0,p-vH,178577,,,,,,Autogrill S.p.A.,EUR,251218000.0,1544488192.0,1807.899089,MIL,"1,544.49 MM",Small Cap,"OP(178,577)",1285135.66,0.8543,0,,,0,0.0,0,,
14,AIR.PA,110.48,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.52,0.05,4.0,p-vL,0,,,,,,Airbus SE,EUR,785782976.0,86813302784.0,101619.223673,PAR,"86,813.30 MM",Large Cap,,0.0,0.8543,0,,,0,0.0,0,,
15,AMS.MC,50.42,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.0,0.97,9.0,pLvH,48095,,,,,,Amadeus IT Group S.A.,EUR,449630016.0,22670344192.0,26536.74844,MCE,"22,670.34 MM",Large Cap,"IN(10,845) OP(28,466) EQ(8,784)",2838522.54,0.8543,0,,,8784,518423.58,0,,
16,AMT,290.82,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,1.0,0.04,1.0,pHvL,2708,AMT211015C00390000,390.0,0.05,0.000513,0.341036,American Tower Corporation (REIT),USD,455140992.0,132364107776.0,132364.107776,NYQ,"132,364.11 MM",Large Cap,"IN(1,605) EQ(1,103)",787540.58,1.0,-2700,IN(-16) EQ(-11),2021-10-15,1103,320774.47,-1100,19.961616,24.0
17,AMZN,3199.95,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.02,0.77,9.0,pLvH,467,AMZN211119C03600000,3600.0,38.1,0.042333,0.125018,Amazon.com Inc.,USD,506440992.0,1620585873408.0,1620585.873408,NMS,"1,620,585.87 MM",Large Cap,IN(260) EQ(207),1494376.63,1.0,0,,2021-11-19,207,662389.64,0,19.721378,45.0
18,ANET,369.86,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.4,0.0,4.0,p-vL,0,ANET211217C00420000,420.0,6.4,0.045714,0.135565,Arista Networks Inc.,USD,76716600.0,28374401024.0,28374.401024,NYQ,"28,374.40 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,19.924621,20.0
19,ANGI,10.28,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.08,0.97,9.0,pLvH,314762,ANGI211119C00015000,15.0,0.1,0.026667,0.459144,Angi Inc.,USD,82218000.0,5183124480.0,5183.12448,NMS,"5,183.12 MM",Mid Cap,"IN(38,753) OP(240,423) EQ(35,586)",3235753.36,1.0,0,,2021-11-19,35586,365824.08,0,19.047619,10.0
20,ANSS,362.22,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.71,0.13,4.0,p-vL,0,ANSS211119C00400000,400.0,5.9,0.04425,0.104301,ANSYS Inc.,USD,87252496.0,31604598784.0,31604.598784,NMS,"31,604.60 MM",Large Cap,,0.0,1.0,0,,2021-11-19,0,0.0,0,17.899246,21.0
21,AON,279.37,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.97,1.0,3.0,pHvH,2772,AON211217C00330000,330.0,1.5,0.013636,0.181229,Aon plc,USD,225747008.0,63066939392.0,63066.939392,NYQ,"63,066.94 MM",Large Cap,"IN(1,499) EQ(1,273)",774413.63,1.0,0,,2021-12-17,1273,355638.0,0,18.213291,22.0
22,APH,74.47,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,1.0,1.0,3.0,pHvH,0,APH211217C00075000,75.0,3.4,0.136,0.007117,Amphenol Corporation,USD,598185024.0,44546838528.0,44546.838528,NYQ,"44,546.84 MM",Large Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,19.094879,21.0
23,ASR,167.93,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.0,1.0,9.0,pLvH,0,ASR211217C00195000,195.0,2.0,0.030769,0.161198,Grupo Aeroportuario del Sureste S. A. B. de C. V.,USD,30000000.0,5044197376.0,5044.197376,NYQ,"5,044.20 MM",Mid Cap,,0.0,1.0,0,,2021-12-17,0,0.0,0,23.374771,15.0
24,ATL.MI,15.75,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.71,0.79,6.0,p-vH,126336,,,,,,Atlantia SpA,EUR,818824000.0,12896478208.0,15095.959508,MIL,"12,896.48 MM",Large Cap,"OP(126,336)",2329149.01,0.8543,0,,,0,0.0,0,,
25,ATHM,37.72,2021-08-20T00:00:00.000000000,2021-08-20T00:00:00.000000000,0.01,0.54,8.0,pLv-,38396,ATHM211217C00050000,50.0,0.9,0.054,0.325557,Autohome Inc.,USD,124980000.0,4714245632.0,4714.245632,NYQ,"4,714.25 MM",Mid Cap,"OP(38,396)",1448297.16,1.0,0,,2021-12-17,0,0.0,0,,
