,SecurityDescription,Ticker,AssetClass,Sector,Type,SharesPar,PriceBase,PriceLocal,Value,PctofPortfolio,Currency_trades,TradeData,EffectiveDate,filename,first_word_SecurityDescription,first_word_LongName,Symbol,ExchangeRate,Exchange,Ticker_to_CAD,Ticker_from_CAD,EXPIRY_DATE,STRIKE,OptPC,RATE_Q,RATE,HVOL_trades,TERM_DAYS,TERM_YEARS,SymbolYahoo,RISK_MULTIPLIER,RISK_UNITS,Country,exp_codes,parse_handle,parse_cents,OptionTicker,TickerYahoo,CADUSD=X,CADHKD=X,CADBRL=X,CADEUR=X,CADSEK=X,CADJPY=X,CADCHF=X,USD,HKD,BRL,EUR,SEK,JPY,CHF,UNDERLYING_SPOT,HVOL,Currency,PRICE_PUT,PRICE_CALL,DELTA_PUT,DELTA_CALL,DELTA,PRICE,DELTA_POS,DELTA_DOLLARS,GAMMA,GAMMA_MOVE_PCT,GAMMA_MOVE_PRICE,VaR_025,POSVaR_025,WEIGHT_RISK_POSVaR025,WEIGHT_DELTA_DOLLARS
0,Spdr S&P 500 ETF Trust Put 378 04/16/21,SPY US 04/16/21 P378 Equity,Option,Equity Index,Buy A Put Option,1500,5.22,4.14,787899.0,0.0279,USD,2021-03-25,2021-03-26,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2576700448989868,PCX,USDCAD=X,CADUSD=X,2021-04-16,378.0,P,0.01,0.01,0.2,22,0.06027397260273973,SPY,100,150000,United States,210416,00378,000,SPY210416P00378000,SPY210416P00378000,0.7951211333274841,6.175085067749023,4.466516017913818,0.6728500127792358,6.8460001945495605,86.4739990234375,0.7439799904823303,1.2576700448989868,0.16191500425338745,,1.485759973526001,0.1450749933719635,0.01155999954789877,1.3437999486923218,388.4292297363281,0.13680532890117286,USD,1.5184196438636803,11.949927729489957,-0.20402894655980225,0.7959710534401978,-0.20402894655980225,1.5184196438636803,-30604.34198397034,-9452098.371616662,0.021717177151123382,-0.025,-9.710730743408204,2.489494171942648,373424.12579139724,-1.5058099499076996e-189,-1.6607533899335882e-94
1,Spdr S&P 500 ETF Trust Put 375 06/18/21,SPY US 06/18/21 P375 Equity,Option,Equity Index,Buy A Put Option,500,11.05,8.78,553904.0,0.0196,USD,2021-03-23,2021-03-24,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.252079963684082,PCX,USDCAD=X,CADUSD=X,2021-06-18,375.0,P,0.01,0.01,0.2,87,0.23835616438356164,SPY,100,50000,United States,210618,00375,000,SPY210618P00375000,SPY210618P00375000,0.7986710071563721,6.201990127563477,4.394617080688477,0.6692100167274475,6.79640007019043,86.87000274658203,0.737339973449707,1.252079963684082,0.16120900213718414,,1.4941200017929077,0.14706499874591827,0.011509000323712826,1.3559000492095947,388.2298889160156,0.13838507725606825,USD,4.990606394622247,18.22943356027747,-0.29208071217765486,0.7079192878223451,-0.29208071217765486,4.990606394622247,-14604.035608882743,-4528243.631884072,0.013093961664778097,-0.025,-9.705747222900392,3.548641326376222,177432.0663188111,-7.154839562904956e-190,-7.956218467508823e-95
2,Spdr S&P 500 ETF Trust Put 430 08/20/21,SPY US 08/20/21 P430 Equity,Option,Equity Index,Buy A Put Option,1000,5.41,4.3,544018.0,0.019299999999999998,USD,2021-07-27,2021-07-28,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.253999948501587,PCX,USDCAD=X,CADUSD=X,2021-08-20,430.0,P,0.01,0.01,0.2,24,0.06575342465753424,SPY,100,100000,United States,210820,00430,000,SPY210820P00430000,SPY210820P00430000,0.7974482178688049,6.201553821563721,4.122722148895264,0.6751000285148621,6.874899864196777,87.94000244140625,0.7296000123023987,1.253999948501587,0.16121099889278412,,1.4805799722671509,0.1453240066766739,0.011365000158548355,1.3697199821472168,439.010009765625,0.11038716199393996,USD,1.6614351026862124,10.67427225627597,-0.22753552823729217,0.7724644717627078,-0.22753552823729217,1.6614351026862124,-22753.552823729216,-7965739.918318177,0.02428800257734315,-0.025,-10.975250244140625,3.1283259222860997,312832.59222860995,-1.2614782963873278e-189,-1.3995971108808446e-94
3,Spdr S&P 500 ETF Trust Put 430 10/18/21,SPY US 10/18/21 P430 Equity,Option,Equity Index,Buy A Put Option,1000,4.93,3.92,495762.0,0.0176,USD,2021-10-05,2021-10-06,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2589800357818604,PCX,USDCAD=X,CADUSD=X,2021-10-18,430.0,P,0.01,0.01,0.2,13,0.03561643835616438,SPY,100,100000,United States,211018,00430,000,SPY211018P00430000,SPY211018P00430000,0.7942937612533569,6.184720039367676,4.331018924713135,0.68367999792099,6.93179988861084,88.13400268554688,0.7346299886703491,1.2589800357818604,0.161654993891716,,1.4624799489974976,0.14415399730205536,0.011339999735355377,1.3608900308609009,433.1000061035156,0.10883963195921138,USD,2.1997731773516875,5.301310784989255,-0.35936221344725894,0.6406377865527411,-0.35936221344725894,2.1997731773516875,-35936.22134472589,-12362370.523272377,0.04202828071614855,-0.025,-10.827500152587891,4.889121575033412,488912.1575033412,-1.9715083749319233e-189,-2.172094274409051e-94
4,Spdr S&P 500 ETF Trust Put 430 10/15/21,SPY US 10/15/21 P430 Equity,Option,Equity Index,Buy A Put Option,1000,4.65,3.69,467921.0,0.0166,USD,2021-10-06,2021-10-07,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.258270025253296,PCX,USDCAD=X,CADUSD=X,2021-10-15,430.0,P,0.01,0.01,0.2,9,0.024657534246575342,SPY,100,100000,United States,211015,00430,000,SPY211015P00430000,SPY211015P00430000,0.7947419881820679,6.186319828033447,4.3498430252075195,0.6848999857902527,6.945899963378906,88.59600067138672,0.7377399802207947,1.258270025253296,0.16161499917507172,,1.4590100049972534,0.1439010053873062,0.011284000240266323,1.3551599979400635,434.8999938964844,0.10900428905239186,USD,1.127070235486542,6.028124404636287,-0.2512109567276812,0.7487890432723188,-0.2512109567276812,1.127070235486542,-25121.09567276812,-8682686.653495196,0.042798224646077146,-0.025,-10.87249984741211,3.4267441932111558,342674.4193211156,-1.3818136391134764e-189,-1.5255661469651998e-94
5,Spdr S&P 500 ETF Trust Put 430 10/22/21,SPY US 10/22/21 P430 Equity,Option,Equity Index,Buy A Put Option,1000,4.41,3.55,444160.0,0.015700000000000002,USD,2021-10-13,2021-10-14,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2476099729537964,PCX,USDCAD=X,CADUSD=X,2021-10-22,430.0,P,0.01,0.01,0.2,9,0.024657534246575342,SPY,100,100000,United States,211022,00430,000,SPY211022P00430000,SPY211022P00430000,0.8015325665473938,6.23606014251709,4.433311939239502,0.6949700117111206,7.041399955749512,90.97799682617188,0.745710015296936,1.2476099729537964,0.16032500565052032,,1.4386199712753296,0.14181700348854065,0.010985000059008598,1.3406699895858765,435.17999267578125,0.10966819430794736,USD,1.072499406326827,6.2535523547735465,-0.2406846747229867,0.7593153252770133,-0.2406846747229867,1.072499406326827,-24068.46747229867,-8395344.478943268,0.04154634674680145,-0.025,-10.879499816894532,3.257513191905472,325751.31919054716,-1.313572272796053e-189,-1.4750795278361625e-94
6,Spdr S&P 500 ETF Trust Put 430 11/19/21,SPY US 11/19/21 P430 Equity,Option,Equity Index,Buy A Put Option,300,13.42,10.52,403457.0,0.0143,USD,2021-09-29,2021-09-30,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.267699956893921,PCX,USDCAD=X,CADUSD=X,2021-11-19,430.0,P,0.01,0.01,0.2,51,0.13972602739726028,SPY,100,30000,United States,211119,00430,000,SPY211119P00430000,SPY211119P00430000,0.7888302206993103,6.138840198516846,4.279466152191162,0.6749299764633179,6.886300086975098,87.97200012207031,0.7328799962997437,1.267699956893921,0.16286499798297882,,1.4813400506973267,0.14514599740505219,0.011362000368535519,1.364150047302246,434.45001220703125,0.10121102589142517,USD,4.5358278195942034,8.991848203828567,-0.38536379356041495,0.614636206439585,-0.38536379356041495,4.5358278195942034,-11560.913806812448,-3962009.399132914,0.023262799992529358,-0.025,-10.861250305175782,5.3030606969690774,159091.82090907232,-6.415280383025906e-190,-6.961333115530529e-95
7,Spdr S&P 500 ETF Trust Put 440 10/15/21,SPY US 10/15/21 P440 Equity,Option,Equity Index,Buy A Put Option,500,7.49,5.91,376074.0,0.013300000000000001,USD,2021-09-08,2021-09-09,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.264639973640442,PCX,USDCAD=X,CADUSD=X,2021-10-15,440.0,P,0.01,0.01,0.2,37,0.10136986301369863,SPY,100,50000,United States,211015,00440,000,SPY211015P00440000,SPY211015P00440000,0.7907388806343079,6.1465277671813965,4.0860090255737305,0.6675789952278137,6.792300224304199,87.20500183105469,0.7269499897956848,1.264639973640442,0.16265200078487396,,1.4976600408554077,0.14715999364852905,0.011466999538242817,1.3750720024108887,450.9100036621094,0.10225672019332165,USD,1.893384641702042,12.807848555177259,-0.22097654224162466,0.7790234577583753,-0.22097654224162466,1.893384641702042,-11048.827112081233,-3939482.206330317,0.020220650421598017,-0.025,-11.272750091552735,3.147930469394626,157396.5234697313,-6.346918550570582e-190,-6.92175236812216e-95
8,Spdr S&P 500 ETF Trust Put 430 11/19/21,SPY US 11/19/21 P430 Equity,Option,Equity Index,Buy A Put Option,300,12.05,9.54,362481.0,0.0129,USD,2021-10-01,2021-10-04,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.268399953842163,PCX,USDCAD=X,CADUSD=X,2021-11-19,430.0,P,0.01,0.01,0.2,49,0.13424657534246576,SPY,100,30000,United States,211119,00430,000,SPY211119P00430000,SPY211119P00430000,0.7883948683738708,6.137710094451904,4.288725852966309,0.6810700297355652,6.907599925994873,87.86799621582031,0.7347999811172485,1.268399953842163,0.16289499402046204,,1.4680900573730469,0.14470599591732025,0.011377000249922276,1.3601100444793701,434.239990234375,0.10518517647790408,USD,4.7352396845407725,8.981002482908053,-0.39195864231482114,0.6080413576851789,-0.39195864231482114,4.7352396845407725,-11758.759269444634,-4025641.513833892,0.022958612248290104,-0.025,-10.855999755859376,5.394311266806003,161829.33800418008,-6.525669085714025e-190,-7.073136067683065e-95
9,Spdr S&P 500 ETF Trust Put 430 09/17/21,SPY US 09/17/21 P430 Equity,Option,Equity Index,Buy A Put Option,400,8.96,7.15,359559.0,0.0127,USD,2021-07-26,2021-07-27,Z:\truequant\2021-10-26\buys_BDEQ.xlsx,SPDR,SPDR,SPY,1.2567499876022339,PCX,USDCAD=X,CADUSD=X,2021-09-17,430.0,P,0.01,0.01,0.2,53,0.14520547945205478,SPY,100,40000,United States,210917,00430,000,SPY210917P00430000,SPY210917P00430000,0.7957032322883606,6.179989814758301,4.117297172546387,0.675599992275238,6.915500164031982,87.94599914550781,0.7315599918365479,1.2567499876022339,0.16175499558448792,,1.4795199632644653,0.14452899992465973,0.011365000158548355,1.3665200471878052,441.0199890136719,0.11103366400150395,USD,3.1153821439177136,14.141614947874302,-0.26776737093103375,0.7322326290689662,-0.26776737093103375,3.1153821439177136,-10710.69483724135,-3758607.9698009267,0.017646047161531335,-0.025,-11.025499725341797,3.7085475464893065,148341.90185957227,-5.981796471638722e-190,-6.603952563615411e-95
